,inspec_id,permit_id,crit_viol,non_crit_viol,crit_viol_cos,crit_viol_rpt,non_crit_viol_cos,non_crit_viol_rpt,crit_viol_tbr,non_crit_viol_tbr,lat,lon,risk,insp_badge,yelp_rating,yelp_reviews,violation
1414,821535,4373,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.8825763,-76.9947021,3,607.0,3.5,514,0
1415,821535,4373,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.8825763,-76.9947021,3,607.0,3.5,514,0
1416,821535,4373,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,38.8825763,-76.9947021,3,607.0,3.5,514,0
1417,825289,4373,9.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,38.8825763,-76.9947021,3,607.0,3.5,514,1
1418,825289,4373,9.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,38.8825763,-76.9947021,3,607.0,3.5,514,1
1419,825289,4373,9.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,38.8825763,-76.9947021,3,607.0,3.5,514,1
1420,205407,1624,13.0,3.0,4.0,0.0,0.0,0.0,9.0,3.0,38.9172897,-77.0304234,3,121.0,2.5,456,1
1421,607506,1624,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,38.9172897,-77.0304234,3,54.0,2.5,456,0
1422,811324,1624,8.0,2.0,3.0,0.0,0.0,0.0,5.0,2.0,38.9172897,-77.0304234,3,607.0,2.5,456,1
1423,822046,1624,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,38.9172897,-77.0304234,3,422.0,2.5,456,1
1424,205411,2239,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,38.915421,-77.031671,3,82.0,3.5,488,1
1425,610209,2239,9.0,2.0,5.0,0.0,0.0,0.0,4.0,2.0,38.915421,-77.031671,3,121.0,3.5,488,1
1426,812963,2239,6.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,38.915421,-77.031671,3,54.0,3.5,488,1
1427,824196,2239,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,38.915421,-77.031671,3,64.0,3.5,488,1
1428,205469,1493,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,38.8970626,-77.0394791,3,107.0,3.5,273,1
1429,205469,1493,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,38.8970626,-77.0394791,3,107.0,3.5,273,1
1430,205469,1493,5.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,38.8970626,-77.0394791,3,107.0,3.5,273,1
1431,810881,1493,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,38.8970626,-77.0394791,3,54.0,3.5,273,1
1432,810881,1493,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,38.8970626,-77.0394791,3,54.0,3.5,273,1
1433,810881,1493,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,38.8970626,-77.0394791,3,54.0,3.5,273,1
1434,205516,1305,6.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,38.9037749,-77.0596717,3,64.0,3.0,6,1
1435,811261,1305,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,38.9037749,-77.0596717,3,607.0,3.0,6,0
1436,205534,148225,6.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,38.8864887,-77.018728,3,89.0,3.5,3,1
1437,205534,148225,6.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,38.8864887,-77.018728,3,89.0,3.5,3,1
1438,811743,148225,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,38.8864887,-77.018728,3,124.0,3.5,3,0
